# maelstrom - GimmeMotifs version 0.16.1
# method: rf with motif score
# motif table: /home/ia1014/gimmemotifs/output/shared.out/motif.nr.score.txt.gz
# activity values: feature importances from fitted Random Forest model
	FOXG1	NeuroD1	shared
GM.5.0.Homeodomain.0118	-0.001908272527004635	-0.002397091531587785	0.001972713260724074
GM.5.0.Unknown.0062	-0.002244693668992362	-0.003262013418881255	0.002382259574800231
GM.5.0.bHLH.0086	-0.0022255182541762336	-0.002493975711183419	0.002163376124108625
GM.5.0.Unknown.0206	-0.0024672014925705118	-0.0030701302177450324	0.0029022985057795764
GM.5.0.RFX.0014	-0.0023029277389045545	-0.002393826210527891	0.002066507049063738
GM.5.0.C2H2_ZF.0310	-0.0024718471023418313	-0.002481436226392019	0.0023388396218767507
GM.5.0.C2H2_ZF.0257	-0.0024866308564193986	-0.0027262594707846786	0.0037347522034136384
GM.5.0.Myb_SANT.0016	-0.0032569216581841403	-0.0024884054934734006	0.0024941453624742448
GM.5.0.C2H2_ZF.0106	-0.0022212775990545068	-0.0024240811037058974	0.002283610709878344
GM.5.0.CSD.0001	-0.0025163192672878775	-0.0025222624459845184	0.00281115473356733
GM.5.0.Nuclear_receptor.0038	-0.002369336804711115	-0.0035233627868586715	0.0022437562636567644
GM.5.0.SMAD.0007	-0.002232965352683812	-0.0026488908713149873	0.002607917940380489
GM.5.0.Grainyhead.0010	-0.0018523022503175873	-0.0018043303498506138	0.00139453835247149
GM.5.0.C2H2_ZF.0132	-0.0024176218745534384	-0.0027162159573718863	0.0022074578481381343
GM.5.0.Homeodomain.0195	-0.0024097540691174167	-0.0025419306405448762	0.0029865258206499897
GM.5.0.Paired_box.0020	-0.0020166495299441677	-0.002856252336142451	0.0018127035145685704
GM.5.0.SMAD.0005	-0.005402138377107382	-0.002624814907199995	0.005302402805403548
GM.5.0.C2H2_ZF.0092	-0.002272575538096112	-0.0024357823680004873	0.002195170440801613
GM.5.0.Grainyhead.0008	-0.002478233532727841	-0.0024340726016343897	0.004906144333921595
GM.5.0.Forkhead.0057	-0.00218937552418784	-0.002880592549044189	0.001949521936459793
GM.5.0.Zinc_cluster.0001	-0.0025951096004768774	-0.002537981940877103	0.0028909559994767897
GM.5.0.C2H2_ZF.0224	-0.002276837363956278	-0.0029219944325551135	0.0026567072248123618
GM.5.0.C2H2_ZF.0293	-0.002201863830415782	-0.002866952835321231	0.0022591195924230876
GM.5.0.bZIP.0032	-0.0023137958820649927	-0.0030846776930498906	0.0036791721124423376
GM.5.0.Paired_box.0018	-0.002233060982087547	-0.0029998077414234024	0.002387820596411193
GM.5.0.Nuclear_receptor.0100	-0.0021332182608364792	-0.002950931868817258	0.0020192376914634482
GM.5.0.MADS_box.0008	-0.0023809363940569526	-0.0025609327280156206	0.0027805451016376143
GM.5.0.HSF.0006	-0.0024068497855654933	-0.0027466809397233526	0.0033179032479200886
GM.5.0.C2H2_ZF.0284	-0.0028069913693677755	-0.0023633363534861433	0.0023508318469494006
GM.5.0.SMAD.0015	-0.003395088300031991	-0.0025814235089757337	0.0036454224774520832
GM.5.0.HSF.0009	-0.002255866699817658	-0.00275084218315234	0.0024389918818401744
GM.5.0.Homeodomain.0142	0.0030752469209746943	-0.0024072130552076844	0.0008035385125429226
GM.5.0.C2H2_ZF.0301	-0.0022578150394449944	-0.0028378388320438284	0.0024008183162701536
