# maelstrom - GimmeMotifs version 0.16.1
# method: hypergeom with motif count
# motif table: /media/ia1014/2011CBA352BBC48B/ipek/K27ac_at_FOXg1_peaks_maelstrom.out/motif.nr.count.txt.gz
# activity values: -log10-transformed, BH-corrected hypergeometric p-values
	cluster_1	cluster_2	cluster_3	cluster_4
GM.5.0.bHLH.0054	-0.0	-0.0	-0.0	60.71391624519107
GM.5.0.C2H2_ZF.0277	-0.0	-0.0	-0.0	44.89960940943883
GM.5.0.Nuclear_receptor.0133	-0.0	-0.0	-0.0	64.67868142264251
GM.5.0.Unknown.0106	-0.0	-0.0	-0.0	71.99335168329452
GM.5.0.Homeodomain.0185	-0.0	-0.0	-0.0	42.61430640164958
GM.5.0.bZIP.0021	-0.0	-0.0	-0.0	46.59735461457746
GM.5.0.C2H2_ZF.0310	-0.0	-0.0	-0.0	49.42597521359707
GM.5.0.THAP_finger.0005	-0.0	-0.0	-0.0	51.6766535613057
GM.5.0.Unknown.0019	-0.0	-0.0	-0.0	147.92823668916841
GM.5.0.GATA.0006	-0.0	-0.0	-0.0	58.467057223487366
GM.5.0.Homeodomain.0161	-0.0	-0.0	-0.0	59.58795973868357
GM.5.0.Unknown.0001	-0.0	-0.0	-0.0	69.7244278232603
GM.5.0.C2H2_ZF_Homeodomain.0002	-0.0	-0.0	-0.0	-0.0
GM.5.0.GATA.0015	-0.0	-0.0	-0.0	53.95007586482705
GM.5.0.MADS_box.0008	-0.0	-0.0	-0.0	53.3816762060047
GM.5.0.C2H2_ZF.0196	-0.0	-0.0	-0.0	56.763722869396666
GM.5.0.bZIP.0086	-0.0	-0.0	-0.0	42.61430640164958
GM.5.0.C2H2_ZF.0115	-0.0	-0.0	-0.0	99.36138705507733
GM.5.0.Nuclear_receptor.0147	-0.0	-0.0	-0.0	37.47088185672574
GM.5.0.Unknown.0075	-0.0	-0.0	-0.0	52.81477326663907
GM.5.0.C2H2_ZF.0253	-0.0	-0.0	-0.0	34.02616649247083
GM.5.0.C2H2_ZF.0176	-0.0	-0.0	-0.0	54.512476542993966
GM.5.0.p53.0002	-0.0	-0.0	-0.0	51.11534570818544
GM.5.0.DM.0007	-0.0	-0.0	-0.0	60.1457132384825
GM.5.0.Homeodomain.0125	-0.0	-0.0	-0.0	53.95007586482705
GM.5.0.bZIP.0099	-0.0	-0.0	-0.0	32.29757640732177
GM.5.0.C2H2_ZF.0124	-0.0	-0.0	-0.0	53.95007586482705
GM.5.0.Homeodomain.0148	-0.0	-0.0	-0.0	-0.0
GM.5.0.Sox.0035	-0.0	-0.0	-0.0	36.896286497145745
GM.5.0.Myb_SANT.0002	-0.0	-0.0	-0.0	64.67868142264251
GM.5.0.Rel.0013	-0.0	-0.0	-0.0	56.763722869396666
GM.5.0.Mixed.0008	-0.0	-0.0	-0.0	70.28811536067799
GM.5.0.bHLH.0059	-0.0	-0.0	-0.0	35.749578921640015
GM.5.0.GCM.0001	-0.0	-0.0	-0.0	42.61430640164958
GM.5.0.Homeodomain.0172	-0.0	-0.0	-0.0	59.02918285527288
GM.5.0.Ets.0028	-0.0	-0.0	-0.0	40.91293119414925
GM.5.0.Ets.0046	-0.0	-0.0	-0.0	-0.0
GM.5.0.Homeodomain.0135	-0.0	-0.0	-0.0	44.89960940943883
GM.5.0.Homeodomain.0192	-0.0	-0.0	-0.0	65.80484078625975
GM.5.0.Unknown.0126	-0.0	-0.0	-0.0	54.512476542993966
GM.5.0.C2H2_ZF.0185	-0.0	-0.0	-0.0	39.76891019586513
GM.5.0.C2H2_ZF.0301	-0.0	-0.0	-0.0	51.6766535613057
