# GimmeMotifs version 0.16.1
# Inputfile: /home/ia1014/gimmemotifs/output/cluster_2denovo/input.w200.bed
Motif	best_match	best_match_pvalue	enr_at_fpr	fraction_fpr	ks_pvalue	ks_significance	max_enrichment	max_fmeasure	mncp	num_cluster	phyper_at_fpr	pr_auc	recall_at_fdr	roc_auc	roc_auc_xlim	score_at_fpr	stars
GimmeMotifs_11	GM.5.0.C2H2	7.009493718790338e-08	2.692307692307692	0.027237354085603113	0.9143210823408663	0.03890126618994643	10.0	0.6684005201560468	1.3542122931315401	1	0.025758228755082477	0.12274695609518763	0.0038910505836575876	0.5693129343366289	0.007952429257066714	2.747790272129172	0
GimmeMotifs_12	GM.5.0.Myb	2.212152683256363e-11	2.542372881355932	0.058365758754863814	0.6594648420041945	0.18080835300704928	10.0	0.7162624125020349	1.9942681746825808	8	0.0021189289439402553	0.17771229944311717	0.0	0.7141834092870445	0.012378434369616978	1.2478114384225374	0
GimmeMotifs_13		8.881784197001252e-16	2.5925925925925926	0.027237354085603113	0.5122870685272423	0.2904866067200733	3.1818181818181817	0.7188703465982028	1.8146091207874016	5	0.030006726002009935	0.1639896139641192	0.0	0.7019296280034519	0.012030186954864089	1.1618329660110518	0
GimmeMotifs_14	GM.5.0.Nuclear	1.2445600106048005e-13	2.5925925925925926	0.027237354085603113	0.05577566291309943	1.253555259272898	7.5	0.671462829736211	1.5348453250660161	1	0.030006726002009935	0.13944838580518282	0.0	0.6254084089085377	0.00931929325197959	2.745616503162141	0
GimmeMotifs_15	GM.5.0.C2H2	0.009068201099011075	4.242424242424242	0.054474708171206226	0.0014185654430992004	2.8481506239701657	6.666666666666667	0.676223965377333	1.6742743706730447	3	4.0643085217638085e-05	0.1499391127540203	0.0	0.6245204318006329	0.012968433145336444	2.6194940512666003	0
GimmeMotifs_16		0.0032003254478909504	1.153846153846154	0.011673151750972763	0.6903320761038977	0.16094194676049797	5.0	0.6866720735333876	1.462957671966091	1	0.49894342441000666	0.1329234419712002	0.0	0.6136368453723752	0.010014534663658793	2.6299671663065287	0
GimmeMotifs_17		1.1530275859317207e-05	1.9230769230769234	0.019455252918287938	0.85112941486988	0.07000440009084599	10.0	0.6812979668776087	1.450679135359994	1	0.14491919151187901	0.13151341497324873	0.0	0.6128995139971839	0.008436161031961124	2.4956646198155066	0
GimmeMotifs_18		1.1364242880063102e-12	1.8604651162790697	0.0311284046692607	0.3835608330188185	0.41616574684092367	2.923076923076923	0.6688353936239427	1.5130627497468225	3	0.08628409044262147	0.13653848729593931	0.0	0.6047722145679723	0.01199446967058891	1.7420249246566226	0
GimmeMotifs_19		0.05789925282504915	1.153846153846154	0.011673151750972763	0.06053963715063804	1.2179601863518261	5.0	0.6722689075630252	1.3943332304647058	1	0.49894342441000666	0.12675678374600388	0.0	0.5976941361716301	0.009538373026086698	2.8074843753211756	0
GimmeMotifs_20		0.04237566866395881	1.153846153846154	0.011673151750972763	0.21505039921020797	0.6674597469037535	5.0	0.6761613203780114	1.3190506289426938	1	0.49894342441000666	0.11850478578232237	0.0	0.5857280201062848	0.00824993565383276	2.85955144895204	0
GimmeMotifs_21		4.263256414560601e-14	1.891891891891892	0.027237354085603113	0.0008967271485447887	3.0473396817134417	10.0	0.6724454951405305	1.2998722896217532	1	0.09893349377948432	0.11582264841936635	0.0	0.5773834577359234	0.007176914109221941	2.2221494633408856	0
GimmeMotifs_22		0.015068376974032516	3.4615384615384617	0.03501945525291829	0.5427585929035986	0.26539329210924	4.166666666666667	0.6683136133142634	1.3790737694240967	1	0.0031372788976953654	0.12537026406317694	0.0	0.57041363230329	0.010068282638647065	2.5382367552759275	0
GimmeMotifs_23		0.09264990097712422	2.307692307692308	0.023346303501945526	0.6114564726741578	0.21363445334601258	5.0	0.6729368128228904	1.1836147381362243	1	0.06445171364168589	0.10760510710047895	0.0	0.564760253751003	0.005019758058411175	2.80415455319056	0
GimmeMotifs_24		4.166878175837496e-09	0.8196721311475409	0.019455252918287938	0.9323651716403232	0.03041395785301409	5.0	0.6759776536312849	1.1712443311695824	1	0.7308113374064142	0.10544599974052368	0.0	0.56113567200109	0.0056032384725331254	1.365859073417927	0
GimmeMotifs_25	GM.5.0.C2H2	5.048267324669897e-05	2.307692307692308	0.023346303501945526	0.3031749652881478	0.5183066634822583	10.0	0.670611439842209	1.2611195623273421	1	0.06445171364168589	0.11465287741058712	0.0	0.5547812987327589	0.006867628578782424	2.118717637105135	0
GimmeMotifs_26	GM.5.0.MADS	0.0009442435489893652	0.9090909090909092	0.011673151750972763	0.7710979869422492	0.112890430659339	5.0	0.6703910614525139	1.144497323693221	1	0.6489978124348161	0.10323294530730755	0.0	0.5534671228936092	0.005330630478886886	2.6125062435378563	0
GimmeMotifs_27	GM.5.0.C2H2	0.2168505802038847	1.5384615384615385	0.01556420233463035	0.1496640698119872	0.8248824491914521	5.0	0.6693579893215262	1.1376203285117255	1	0.2883509574987484	0.10341984588046757	0.0	0.5526737725022333	0.004115126648397396	2.529317103596115	0
GimmeMotifs_28		0.052410801506990956	0.7692307692307693	0.007782101167315175	0.4197727522688114	0.37698575518514	3.3333333333333335	0.6712993313229316	1.1302603338913433	1	0.7379850967874341	0.10275087017823811	0.0	0.550072673318294	0.005347545004466372	2.5424294124210385	0
