# maelstrom - GimmeMotifs version 0.16.1
# method: mwu with motif score
# motif table: /media/ia1014/2011CBA352BBC48B/ipek/Diff_ATAC_maelstrom.out/motif.nr.score.txt.gz
# activity values: BH-corrected -log10 Mann-Whitney U p-value
	ATAC_gain	ATAC_loss
GM.5.0.Paired_box.0013	-0.0	2.650739924692904
GM.5.0.C2H2_ZF.0115	-0.0	0.9320907833876807
GM.5.0.Nuclear_receptor.0082	-0.0	6.614338277223234
GM.5.0.Homeodomain.0132	-0.0	0.11615936672337139
GM.5.0.bHLH.0085	0.014322336024973315	-0.0
GM.5.0.Unknown.0006	1.5914171290404864	-0.0
GM.5.0.GATA.0024	0.2006337995670713	-0.0
GM.5.0.bZIP.0032	-0.0	1.1326277340830924
GM.5.0.T-box.0002	0.11615936672337139	-0.0
GM.5.0.MADS_box.0015	-0.0	0.4759979189582736
GM.5.0.C2H2_ZF.0011	-0.0	0.9330814966705042
GM.5.0.Unknown.0144	-0.0	0.2484508525257922
GM.5.0.C2H2_ZF.0007	-0.0	2.404973304284955
GM.5.0.Unknown.0054	-0.0	0.7816979246511232
GM.5.0.Unknown.0025	-0.0	1.3767140860778764
GM.5.0.Mixed.0087	-0.0	2.0152811237861785
GM.5.0.Unknown.0133	-0.0	4.102481984301139
GM.5.0.Unknown.0190	-0.0	2.404973304284955
GM.5.0.MADS_box.0004	-0.0	0.053327020816859604
GM.5.0.Unknown.0086	-0.0	0.2699119617850242
GM.5.0.C2H2_ZF.0186	0.5978636703318656	-0.0
GM.5.0.C2H2_ZF.0256	-0.0	0.10524490607712088
GM.5.0.HSF.0010	-0.0	0.4551692402576849
GM.5.0.C2H2_ZF.0235	-0.0	2.3780797547517407
GM.5.0.SMAD.0015	-0.0	0.4960949475545986
GM.5.0.Homeodomain.0185	1.1456608049510582	-0.0
GM.5.0.bZIP.0004	0.13699814836339674	-0.0
GM.5.0.Homeodomain.0165	0.5873186807749611	-0.0
GM.5.0.Mixed.0063	-0.0	1.6932481520997964
GM.5.0.Homeodomain.0136	-0.0	0.2264534472412822
GM.5.0.Unknown.0205	-0.0	0.7246408866227366
GM.5.0.Homeodomain.0142	0.13550378510561759	-0.0
GM.5.0.bHLH.0039	-0.0	0.19044534716831565
GM.5.0.C2H2_ZF.0285	-0.0	2.2034244350966374
GM.5.0.C2H2_ZF.0222	-0.0	3.001802583184069
GM.5.0.Pipsqueak.0001	-0.0	0.3065338594923437
