# maelstrom - GimmeMotifs version 0.16.1
# method: mwu with motif score
# motif table: /media/ia1014/2011CBA352BBC48B/ipek/K4me3_at_FOXG1_peaks_maelstrom.out/motif.nr.score.txt.gz
# activity values: BH-corrected -log10 Mann-Whitney U p-value
	cluster_1	cluster_2	cluster_3
GM.5.0.Unknown.0015	83.13803264113683	-0.0	-0.0
GM.5.0.TEA.0005	inf	-0.0	-0.0
GM.5.0.Paired_box.0018	-0.0	-0.0	0.056386181932117016
GM.5.0.C2H2_ZF.0286	72.88248462423547	-0.0	-0.0
GM.5.0.HSF.0008	7.067806418432099	-0.0	-0.0
GM.5.0.STAT.0015	40.99420168877734	-0.0	-0.0
GM.5.0.Nuclear_receptor.0007	2.0328216579900293	-0.0	-0.0
GM.5.0.C2H2_ZF.0276	-0.0	7.952866849276153	-0.0
GM.5.0.Mixed.0103	-0.0	20.06119300055717	19.245232910598865
GM.5.0.C2H2_ZF.0307	-0.0	11.519949891227203	1.052320923702139
GM.5.0.Forkhead.0042	-0.0	0.6513475931333035	1.8547935619185516
GM.5.0.STAT.0016	-0.0	0.5367479247336312	-0.0
GM.5.0.bZIP.0032	-0.0	2.3263188659293985	8.802331464760867
GM.5.0.Unknown.0062	12.703594228804803	-0.0	-0.0
GM.5.0.GATA.0025	-0.0	1.5870579608061144	14.347772693256008
GM.5.0.C2H2_ZF.0123	-0.0	12.708980475984546	12.890031858943614
GM.5.0.CSD.0001	-0.0	1.7371500312199288	0.5745127552977642
GM.5.0.C2H2_ZF.0079	-0.0	3.448913496105654	4.442632252258379
GM.5.0.SMAD.0007	8.93812621200011	-0.0	-0.0
GM.5.0.C2H2_ZF.0256	-0.0	2.170370692873979	6.256209240111324
GM.5.0.Nuclear_receptor.0099	27.539298353184307	-0.0	-0.0
GM.5.0.C2H2_ZF.0284	4.961330995181	0.005467923621027496	-0.0
GM.5.0.Homeodomain.0149	-0.0	0.1595434303460335	0.15068419688808332
GM.5.0.Sox.0001	17.50049519603504	-0.0	-0.0
