# maelstrom - GimmeMotifs version 0.16.1
# method: rf with motif score
# motif table: /media/ia1014/2011CBA352BBC48B/ipek/K4me3_at_FOXG1_peaks_maelstrom.out/motif.nr.score.txt.gz
# activity values: feature importances from fitted Random Forest model
	cluster_1	cluster_2	cluster_3
GM.5.0.C2H2_ZF.0203	-0.0008986853502633549	0.0014595863575336218	0.0015318366426864227
GM.5.0.Unknown.0190	-0.0008795555131884721	0.001495418020044196	0.0015992692090964725
GM.5.0.EIN3.0001	0.0007484655638368227	0.0014179521306089298	0.0013124931071471322
GM.5.0.C2H2_ZF.0010	-0.0010814227698726178	0.0015498133092089461	0.0015387004861595044
GM.5.0.Nuclear_receptor.0085	0.0008638606095476338	-0.0014832093529683623	-0.0015195342332625192
GM.5.0.C2H2_ZF.0197	0.0009891382455597102	-0.0015385097440360018	-0.00159727160356507
GM.5.0.Paired_box.0013	-0.0009316390463556117	0.0014107162277250112	0.0014456212901329578
GM.5.0.Mixed.0007	-0.0011581129457522573	0.0015160038661943384	0.0014575137021609283
GM.5.0.bHLH.0075	-0.0015957476893683057	0.00170019351857156	0.0016379749131284988
GM.5.0.Mixed.0047	-0.0009319072460222716	0.0014765945325005143	0.0014479299730299866
GM.5.0.GCM.0004	-0.0008809735680890766	0.0015332637916298409	0.0015689146491193909
GM.5.0.Mixed.0055	0.0008594285550806297	-0.001516136048361462	0.0014571618802459985
GM.5.0.Nuclear_receptor.0131	-0.0008284082060039969	0.0015077337705819843	0.001584387090359715
GM.5.0.Nuclear_receptor.0115	0.0008506004872359916	0.0015453145991319753	-0.001486080674561799
GM.5.0.Unknown.0141	-0.0009199654964142373	0.0014560824124922884	-0.0014297002797508146
GM.5.0.C2H2_ZF.0209	-0.0007204914853413978	0.0015413662766306205	0.0014263009090120912
GM.5.0.Ets.0043	-0.001057147741138462	0.001482453731663576	0.0015473816325213168
GM.5.0.Nuclear_receptor.0100	-0.0008229898385215248	0.001442977182548263	0.0013522069646606297
GM.5.0.Mixed.0065	0.0008899273494315087	-0.0015076541352733281	-0.0015296926447705746
GM.5.0.bHLH.0105	0.0007888819396841438	-0.0014129620334779017	-0.0013826374756579227
GM.5.0.C2H2_ZF.0083	-0.0008670234549481328	0.0014878514749732076	0.0015142114996762213
GM.5.0.STAT.0025	0.000913812023410741	-0.0015381026335811534	-0.0015737136850087318
GM.5.0.Unknown.0138	-0.0010177328278913158	0.0014974613053297867	0.0014625346703858993
GM.5.0.C2H2_ZF.0039	-0.0009082157785010112	0.0015174766046979868	0.0014531144101756221
GM.5.0.C2H2_ZF.0298	0.0008625101887729105	-0.001521857185335568	-0.0015460226918435173
GM.5.0.Zinc_cluster.0001	-0.0008166775933517718	0.001517468150981271	0.0014467728531891272
GM.5.0.C2H2_ZF.0080	-0.0009075860174679844	-0.0015501434822541395	0.0015497882645793448
GM.5.0.Unknown.0105	0.0008538660159223991	-0.0014631997056319401	0.0014877989804428463
GM.5.0.Nuclear_receptor.0118	-0.0008577985166673949	0.0014752251002181369	0.0014760111535802043
GM.5.0.Unknown.0169	-0.0009905872839163377	0.0015146019893170902	0.0015411045814814853
GM.5.0.C2H2_ZF.0147	0.0009677296117508309	-0.00151791047855072	-0.0015436913021662341
GM.5.0.T-box.0012	-0.0007835803404599622	0.0015438199144549886	0.0015781147431317146
GM.5.0.Prospero.0001	0.0009757730054407984	-0.0016280865459436153	-0.0015401094748427435
GM.5.0.C2H2_ZF.0146	-0.000961060319423352	0.0015930196071133132	0.0015456428162057738
GM.5.0.Homeodomain.0153	-0.0010830964676180213	0.0013661198755911118	0.0012644144417363063
