# maelstrom - GimmeMotifs version 0.16.1
# method: rf with motif score
# motif table: /home/ia1014/gimmemotifs/output/stratified.out/motif.nr.score.txt.gz
# activity values: feature importances from fitted Random Forest model
	3' UTR	5' UTR	Distal Intergenic	Downstream (1-2kb)	Downstream (2-3kb)	Downstream (<1kb)	Exon	Intron	Promoter (1-2kb)	Promoter (2-3kb)	Promoter (<=1kb)
GM.5.0.C2H2_ZF.0188	0.001121418088014431	-0.001760020698742633	0.0015237950824526063	-0.001471235819289341	0.002062027357118383	-0.0009534036041993328	0.001680297625891847	0.0015566492977247468	-0.0014922972069856982	0.001607819605447133	-0.0010856685667654507
GM.5.0.Nuclear_receptor.0061	-0.0018091087372343211	0.0009783145298899825	-0.0015680382179819393	-0.0016207202926035939	0.0015155453879273095	0.0010910200396001184	0.0017981193229026386	-0.0016822280809374577	0.0014715213777212334	-0.0015512326583094916	0.001155433469909474
GM.5.0.Nuclear_receptor.0103	0.0012168342107805807	0.001167389716748445	-0.001572246508347192	-0.001640379806705092	-0.0015991428509172614	-0.0016645152944380899	-0.0013050516053350367	0.001544280935628791	0.0018840442042139748	0.0012825863179035855	-0.0010520424378441125
GM.5.0.Homeodomain.0159	0.0012439530772065711	-0.00097941431849908	-0.001532586210126267	-0.0012635732174422459	0.001803381989029723	0.00096728841884997	0.0014587299085736646	-0.0015779930625386027	0.0018642707711667389	-0.0018642823694975006	0.0012504483590983003
GM.5.0.Unknown.0129	0.0011875922620518098	0.0014828822707643801	-0.0015960961050143039	0.0011899138508646117	-0.002105459391333792	0.0016314818552662798	0.0015024484778923314	-0.00157225656061931	-0.0015641683409114804	0.0019245285831436634	0.0010101974933244323
GM.5.0.C2H2_ZF.0038	-0.0014881105058141423	-0.0012616746482622338	-0.0015219177753739903	0.0020862003192762073	0.0013094426785514948	0.00218412884668128	-0.0014707145016057055	-0.0015451154869361625	0.0015341456629201784	0.0014387929956679272	0.0010772717424172586
GM.5.0.Nuclear_receptor.0125	0.0014094245880199297	0.0010695213779719022	-0.0016665305238211811	0.0020608617929261746	0.0015319241734881028	0.0013796470325162591	-0.0015952636886679271	-0.001520738014890633	0.0018892469781669403	0.001882159889762689	0.0012003809102553668
GM.5.0.Myb_SANT.0012	0.0025713063419903555	-0.0011944295939177564	-0.001473732570371545	0.0009339257353771685	0.0014003241444835283	0.0016168441465952536	-0.0016052464186443757	-0.001553677776381309	0.0015668683704645433	-0.0015817838057553219	0.0009211745136174989
GM.5.0.Nuclear_receptor.0098	0.0013436905032920834	-0.0009567877738862093	-0.0015233476240780715	0.002628360582105206	0.0016926217289339603	0.0015040912159293741	-0.001750811370786613	-0.0016040644307899136	0.0016808535205217667	-0.001640824215515856	0.001027631098381015
GM.5.0.RFX.0016	0.0013556377500998787	-0.0024203926463642845	0.0015299921984982584	-0.0027894284153436423	-0.002398805636445681	-0.00094903113886236	0.0012104550804362536	0.0014334567718611623	-0.0013564974717887761	-0.0013333723790267685	-0.000976627075444479
GM.5.0.Nuclear_receptor.0042	0.001758738118155762	-0.0014019685262887946	0.0015805892905015797	-0.001393406102012264	0.002176676271163443	-0.0013507519883435564	0.0023750640175104155	-0.0015469617245410896	0.0016036938017174414	-0.0014609028037099684	-0.0010298211764198043
GM.5.0.DM.0004	-0.0013820192269521031	-0.0010222749619196337	0.001508344404417175	-0.001292613630785628	-0.0018622409859822616	-0.00124555470833751	-0.0013745554011414132	-0.0014973714108731768	-0.0015462437888441862	0.0014661553696964946	0.0008884266469581966
