	z-score 3' UTR	z-score 5' UTR	z-score Distal Intergenic	z-score Downstream (<1kb)	z-score Downstream (1-2kb)	z-score Downstream (2-3kb)	z-score Exon	z-score Intron	z-score Promoter (<=1kb)	z-score Promoter (1-2kb)	z-score Promoter (2-3kb)	3' UTR % with motif	5' UTR % with motif	Distal Intergenic % with motif	Downstream (1-2kb) % with motif	Downstream (2-3kb) % with motif	Downstream (<1kb) % with motif	Exon % with motif	Intron % with motif	Promoter (1-2kb) % with motif	Promoter (2-3kb) % with motif	Promoter (<=1kb) % with motif
GM.5.0.C2H2_ZF.0149	-0.2556301277639621	0.052135478950870576	0.8056055224750303	0.19594804691838003	-0.86349204321379	-0.3477376577759342	0.6615430360174708	0.8365273579627895	0.5395932949766203	-1.2385740073758509	-1.2767027835689235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GM.5.0.C2H2_ZF.0178	-0.7710136372825954	0.11353214081086536	0.996865300870219	1.4016245218736159	-0.14152365372407355	0.6179227983618469	1.1917359441644724	-0.11770907583930038	-0.6125794086946483	1.4091255940252072	0.9687249778829679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4458402465039109	1.3623094388582548	0.056607333794578274
GM.5.0.Homeodomain.0089	-2.1764060214243166	-1.1592040994878392	-2.23698441342601	-2.0845580526349687	-1.2364493071348979	-2.231547944415478	-1.8794976782445267	-2.127778814106205	-0.1845203796423421	-1.4406958790971567	-1.1415515590851282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.042901161412657	1.265001621796951	0.025158815019812566
GM.5.0.Unknown.0073	1.1598918931261013	-0.20261217234268164	-1.528174626113122	-1.4444902506867234	-1.2383099185724977	-1.2917391887018734	-1.0182966735676267	-1.864275877946289	1.488649316156072	1.9846664489006973	-0.3194180808437722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.156909220194359	1.4596172559195588	0.18869111264859426
GM.5.0.Homeodomain.0030	-0.2524685399927019	-1.2318869598371414	-1.85350536466672	-1.2008701066427105	0.1540956367296823	-1.1202060703093029	-1.735425714368268	-2.1067736817352056	1.3259674836373467	-0.042828686813264044	0.40721727624036963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9480919649205973	1.7191047680830358	0.05031763003962513
GM.5.0.C2H2_ZF.0115	-2.195984113314851	-0.7062755642485915	0.44848152962361704	0.682583280686475	0.11477478826147716	0.7371138225250253	0.4087929916109864	-1.0860355548049787	-1.0650072270054294	-0.39873503178543124	-1.6294485828403686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4695425456269258	1.265001621796951	0.09434555632429713
GM.5.0.C2H2_ZF.0238	0.6862652667904806	-1.3338822151626244	0.07526824336315847	-0.20508832783864733	-1.9867207901455957	0.8249594206393407	0.9196743755174596	0.26828534927020414	-1.590918078597923	-0.9631924970831126	-0.9917133087444795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.995496563166627	1.1028219266947779	0.03144851877476571
GM.5.0.bHLH.0124	-3.2551802682263813	-2.2426441192549342	-0.9116109949941079	-2.2355140641082287	-0.237428543145746	-2.1723795045405376	-2.4791512904910413	-2.8929713511105017	3.110137333738802	1.2542937172360689	-1.3178228910558185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6354586394880304	1.2974375608173856	0.17611170513868799
GM.5.0.C2H2_ZF_Homeodomain.0003	1.3538218657537207	0.17009989690104663	-0.764577028843474	2.148991166034463	1.690632094740802	0.5167451976917055	1.4625817968744663	1.8650048398109798	3.0885779675020757	-0.23769219481532738	-0.8580867532807939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GM.5.0.Unknown.0155	-0.43268704155566085	0.6657714701296014	-0.2900986542402798	0.7685356267024754	0.5319074187658953	-0.6405975204483687	0.907991600262046	-0.8725662350109952	3.2448206796732104	0.6543801521060658	-0.43861978028276244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3273287508888363	1.4271813168991243	0.14466318636392225
GM.5.0.C2H2_ZF.0134	-1.3828970324529815	-0.15414922792598607	0.6792717161798806	0.5324426180869801	-0.7086882609399748	-0.7702134180299541	-0.17838393266686137	-1.481770956858466	-0.2489182607941474	-0.60434090808368	-0.9833346492836351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9480919649205973	0.7784625364904314	0.03144851877476571
