# maelstrom - GimmeMotifs version 0.16.1
# method: mwu with motif score
# motif table: /home/ia1014/gimmemotifs/output/stratified.out/motif.nr.score.txt.gz
# activity values: BH-corrected -log10 Mann-Whitney U p-value
	3' UTR	5' UTR	Distal Intergenic	Downstream (<1kb)	Downstream (1-2kb)	Downstream (2-3kb)	Exon	Intron	Promoter (<=1kb)	Promoter (1-2kb)	Promoter (2-3kb)
GM.5.0.Myb_SANT.0012	-0.0	-0.0	-0.0	0.1998996055845986	0.6605866175024991	0.6230398231405556	0.23380161367712438	-0.0	2.0851810274214104	0.45601415590587363	-0.0
GM.5.0.Nuclear_receptor.0098	-0.0	-0.0	-0.0	-0.0	0.4361669121897551	0.16621318465620374	-0.0	-0.0	27.595927527761212	0.7048809139595447	-0.0
GM.5.0.RFX.0016	0.653144973900565	-0.0	21.078207674876793	-0.0	-0.0	-0.0	2.198772846313082	2.3457527769005475	-0.0	-0.0	-0.0
GM.5.0.Nuclear_receptor.0042	0.008564115488850296	0.07113537979678672	0.11522062832367011	-0.0	-0.0	-0.0	-0.0	-0.0	0.6488167907220221	1.0489615924728335	-0.0
GM.5.0.DM.0004	-0.0	0.02163146148444228	-0.0	-0.0	-0.0	0.030793857613790474	-0.0	-0.0	15.724273615139726	-0.0	-0.0
GM.5.0.Nuclear_receptor.0134	-0.0	-0.0	5.55378930571357	-0.0	0.023503771141826658	-0.0	-0.0	0.012232324547069736	-0.0	-0.0	-0.0
GM.5.0.C2H2_ZF.0281	0.11954817902969395	0.012600427497113962	-0.0	-0.0	0.6006934432721245	0.310131324387254	1.0754709941058	-0.0	41.88182277890723	1.663501047531699	0.2722325202188948
GM.5.0.C2H2_ZF.0146	-0.0	-0.0	1.4108471196789323	-0.0	-0.0	-0.0	-0.0	0.07214586888475875	-0.0	0.011842693700741968	-0.0
GM.5.0.C2H2_ZF.0181	-0.0	-0.0	-0.0	0.15587501353294145	-0.0	0.22841394987449257	-0.0	-0.0	4.792457733970874	0.9938061805528213	0.8887575492838027
GM.5.0.Nuclear_receptor.0065	0.08340634077516688	0.2746080312904569	0.05972331439397132	0.17783219942432885	-0.0	0.10561725359874258	-0.0	0.2875808279656979	-0.0	0.07390956228874211	-0.0
