# maelstrom - GimmeMotifs version 0.16.1
# method: hypergeom with motif count
# motif table: /home/ia1014/gimmemotifs/output/stratified.out/motif.nr.count.txt.gz
# activity values: -log10-transformed, BH-corrected hypergeometric p-values
	3' UTR	5' UTR	Distal Intergenic	Downstream (<1kb)	Downstream (1-2kb)	Downstream (2-3kb)	Exon	Intron	Promoter (<=1kb)	Promoter (1-2kb)	Promoter (2-3kb)
GM.5.0.C2H2_ZF.0171	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	19.997581122841112	8.013809623182397
GM.5.0.Forkhead.0040	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	51.76884755290517	35.1817489766136
GM.5.0.Unknown.0193	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	42.77823800987208	25.81758324594461
GM.5.0.Nuclear_receptor.0063	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	28.132254213193715	20.867269460183522
GM.5.0.C2H2_ZF.0101	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	42.00532605221455	29.703111536336436
GM.5.0.C2H2_ZF.0073	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	37.34119226053331	30.958640335524525
GM.5.0.THAP_finger.0006	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	50.555537909598264	53.59602541355072
GM.5.0.Nuclear_receptor.0050	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	17.667023602537075	15.97467067367173
GM.5.0.C2H2_ZF.0177	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	39.0864334147601	26.199399515286
GM.5.0.bHLH.0088	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	43.23687671525473	30.760006636420638
GM.5.0.Unknown.0138	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	50.32477591467468	25.38551285878518
GM.5.0.Nuclear_receptor.0115	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	23.212914002085935	15.252452988446088
GM.5.0.C2H2_ZF.0255	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	66.9353356815096	46.84511904484485
GM.5.0.C2H2_ZF.0289	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	31.565482776817472	12.989667477086897
GM.5.0.Homeodomain.0197	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	36.77427492421988	35.363861624236904
GM.5.0.Prospero.0001	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	49.39877253439608	28.932005040741295
GM.5.0.Unknown.0055	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	38.06831730656827	36.29611514429986
GM.5.0.bZIP.0028	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	52.400379898162704	43.75361604165185
GM.5.0.Nuclear_receptor.0111	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	31.490781923277172	24.330884868807985
GM.5.0.bZIP.0094	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	35.6970478500142	39.88518437840038
GM.5.0.CUT_Homeodomain.0006	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	23.995832287469828	16.56226506102454
GM.5.0.Nuclear_receptor.0137	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	45.24007957441782	34.745707707980785
GM.5.0.Homeodomain.0195	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	30.550491546964626	24.34827793778018
GM.5.0.Unknown.0185	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	24.56203402110904	34.51576615961278
GM.5.0.Unknown.0082	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	39.587160385476196	23.08019805576482
GM.5.0.Unknown.0119	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	38.915599471781924	25.6669026245057
GM.5.0.Ets.0038	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	48.72839363085048	26.041432482196022
GM.5.0.C2H2_ZF.0216	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	44.385279685173664	25.086463434737148
GM.5.0.Paired_box.0020	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	51.443735207989654	26.44415497580827
GM.5.0.C2H2_ZF.0219	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	24.343574576902277	37.2066571676771
GM.5.0.HSF.0009	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	35.702659397927604	25.81758324594461
GM.5.0.Unknown.0062	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	52.88822266571435	29.890775766441394
GM.5.0.Unknown.0060	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	47.93513295527677	25.13577092898211
GM.5.0.C2H2_ZF.0213	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	36.272822522532344	27.525578945175806
GM.5.0.CxxC.0001	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	78.07894675590525	39.16395903265095
GM.5.0.Paired_box.0018	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	49.87286369754514	39.81573353252629
GM.5.0.GATA.0021	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	48.09042718375036	29.479613056274964
GM.5.0.C2H2_ZF.0125	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
GM.5.0.CSD.0001	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	38.15101247112186	29.29645824764296
GM.5.0.Homeodomain.0146	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
GM.5.0.SMAD.0018	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	54.8045865060068	21.182059370142444
GM.5.0.T-box.0012	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	31.627906538879923	30.902113606904738
GM.5.0.Nuclear_receptor.0083	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	14.056540625595336	14.78966788935816
GM.5.0.Mixed.0056	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	49.97583705796025	17.631882603438235
GM.5.0.C2H2_ZF.0161	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	28.907088807291785	26.20996164350739
GM.5.0.Unknown.0180	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	31.203405059590427	14.04896751145948
GM.5.0.Homeodomain.0172	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	30.60382308251278	32.78142878042059
GM.5.0.Nuclear_receptor.0119	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	28.09315908179776	12.238097395256467
GM.5.0.C2H2_ZF.0158	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	36.358140190797336	24.542722300525806
GM.5.0.Mixed.0042	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	40.09148252561595	28.975115100068784
GM.5.0.Homeodomain.0108	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	26.057603633917427	31.862471597861358
GM.5.0.Unknown.0190	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	45.24007957441782	33.40110374813958
GM.5.0.TEA.0006	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	35.98570279122393	30.01243875180038
GM.5.0.T-box.0023	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	32.442659907489194	36.139890654352556
