SYMBOL	Unique on data 13	Unique on data 16	Unique on data 17	Unique on data 14	Unique on data 15	Unique on data 18
C1qa	66.696160608924	56.8713562957235	62.7635476844492	269.391418753931	269.820910634904	129.521264409948
Vasn	99.4150318510376	62.0414795953348	79.5004937336356	183.95011056705	281.874765749178	400.899151745077
Ppp4r4	1502.55124088783	1922.25184279546	1762.60963080495	1066.50856454448	955.96343252435	969.867563260205
Cav1	161.077519961175	155.103698988337	230.133008176314	396.04559324272	612.892171579627	431.73754803316
Sorbs3	179.953791831625	88.9261207533132	135.98768664964	311.609476916861	479.372545698437	515.001218010983
Pon2	356.13232928916	301.935200697296	372.397049594398	620.203378250655	617.528269700501	568.197451607926
Sparc	7948.16887558422	3750.40744153799	5430.09293383293	13114.7382107557	17771.0913169366	19224.6562459908
Nfkb2	86.8308506040708	52.7352576560346	65.9017250686716	156.809930319452	181.735046338286	182.717498006891
Mmp14	471.906796761254	304.00325001714	384.949759131288	744.847169017399	930.928502671627	821.843261077407
Anxa2	508.400922377458	308.139348656829	417.377592101587	782.039267875218	1238.7654178977	1142.56258247347
Ecrg4	583.906009859259	479.787442203922	761.531045237983	1171.04851809078	1875.76529970588	2574.23513014771
Cntn5	529.794030497302	695.898596127672	494.785967579074	1270.56251233197	1145.11623585603	1013.04131806352
C3ar1	46.5614706137771	45.4970850365788	56.4871929160043	182.944918706028	257.76705552063	110.247266729896
Slc6a1	20409.0251463307	23945.9430744794	20078.0589042553	13381.1140539266	11330.6238074176	13751.6118647633
Ass1	368.716510536127	193.36261140546	247.916013353574	584.016471253858	760.32009182344	808.736942654972
Slc12a4	385.075946157184	341.228137774341	356.706162673286	555.871099145239	597.129437968653	589.013369102382
Vegfd	166.111192459962	595.598204115214	757.346808725687	86.4465000479033	75.1047895581691	25.4416769376683
Msn	960.173029143566	599.734302754903	929.946564857922	1626.40043113381	2356.99228465266	1883.45505329466
Samd4	834.331216673898	649.367486431171	669.477841967458	1147.92910528727	1458.51646882716	1491.0364605288
Htr3a	210.155826824345	210.941030624138	203.98152997446	116.602255878567	91.7947427933178	77.8669506274091
Emid1	156.043847462388	90.9941700731577	83.6847302459322	329.702930415259	373.669508542496	253.645809469481
Adgre1	123.324976220275	137.525279769659	154.816750954975	358.853494384901	517.388550289609	266.752127891916
Lcn2	543.636629868965	473.583294244389	869.275135429621	2026.46679182062	2501.63854602395	1276.70960632663
Klhdc7a	173.661701208142	109.606613951758	179.922170028754	310.604285055839	401.486097267743	418.631229610724
Lhx6	1795.76266394216	1987.39539637056	1685.20125532746	980.062064496578	716.740769487218	1077.03099036129
Lgals9	64.1793243595306	41.3609863968898	44.9805425071886	108.56072099039	176.171728593236	164.214460234041
Lgals3bp	351.098656790373	225.41737586305	308.587442781875	540.793221229907	764.956189944315	686.925277317045
Mchr1	201.346899951469	177.852241506626	192.474879565644	87.4516919089254	104.775817531767	74.7831109986008
Csf1	338.514475543407	177.852241506626	240.593599457055	521.694575870486	736.212381594892	705.428315089895
Cpne7	6263.14700661537	8153.28444348691	8460.52622786375	4364.54306055809	4471.98024739567	4520.90889583294
Dcxr	260.492551812213	268.846411579784	254.192368122019	531.746494480707	612.892171579627	413.23451026031
